	msp_0019	msp_0023	msp_0041	msp_0128	msp_0141	msp_0293	msp_0351	msp_0377	msp_0436	msp_1126
MH0109_GL0047945	1	0	0	0	0	0	0	0	0	0
MH0094_GL0135861	1	0	0	0	0	0	0	0	0	0
MH0094_GL0139619	1	0	0	0	0	0	0	0	0	0
RA08_contig:gene_id_26197	1	0	0	0	0	0	0	0	0	0
RA08_contig:gene_id_53604	1	0	0	0	0	0	0	0	0	0
MH0094_GL0054632	1	0	0	0	0	0	0	0	0	0
MH0094_GL0133074	1	0	0	0	0	0	0	0	0	0
MH0094_GL0070623	1	0	0	0	0	0	0	0	0	0
V1.FI21_GL0003797	1	0	0	0	0	0	0	0	0	0
MH0094_GL0008284	1	0	0	0	0	0	0	0	0	0
MH0094_GL0008286	1	0	0	0	0	0	0	0	0	0
MH0404_GL0086756	1	0	0	0	0	0	0	0	0	0
MH0094_GL0026918	1	0	0	0	0	0	0	0	0	0
MH0182_GL0028707	1	0	0	0	0	0	0	0	0	0
MH0094_GL0118402	1	0	0	0	0	0	0	0	0	0
MH0094_GL0076753	1	0	0	0	0	0	0	0	0	0
MH0094_GL0004615	1	0	0	0	0	0	0	0	0	0
V1.CD17-4_GL0145991	1	0	0	0	0	0	0	0	0	0
MH0094_GL0098021	1	0	0	0	0	0	0	0	0	0
MH0094_GL0133075	1	0	0	0	0	0	0	0	0	0
RA08_contig:gene_id_15767	1	0	0	0	0	0	0	0	0	0
MH0094_GL0107592	1	0	0	0	0	0	0	0	0	0
MH0094_GL0070050	1	0	0	0	0	0	0	0	0	0
MH0094_GL0135856	1	0	0	0	0	0	0	0	0	0
MH0094_GL0017381	1	0	0	0	0	0	0	0	0	0
MH0010_GL0000376	1	0	0	0	0	0	0	0	0	0
MH0094_GL0129085	1	0	0	0	0	0	0	0	0	0
MH0094_GL0123291	1	0	0	0	0	0	0	0	0	0
MH0010_GL0021435	1	0	0	0	0	0	0	0	0	0
MH0178_GL0038616	1	0	0	0	0	0	0	0	0	0
MH0094_GL0083880	1	0	0	0	0	0	0	0	0	0
MH0094_GL0067035	1	0	0	0	0	0	0	0	0	0
MH0094_GL0089719	1	0	0	0	0	0	0	0	0	0
MH0094_GL0049662	1	0	0	0	0	0	0	0	0	0
MH0109_GL0035392	1	0	0	0	0	0	0	0	0	0
MH0094_GL0003562	1	0	0	0	0	0	0	0	0	0
159571453-stool1_GL0084734	1	0	0	0	0	0	0	0	0	0
V1.UC52-1_GL0218352	1	0	0	0	0	0	0	0	0	0
MH0162_GL0118231	1	0	0	0	0	0	0	0	0	0
MH0128_GL0086513	1	0	0	0	0	0	0	0	0	0
MH0094_GL0114507	1	0	0	0	0	0	0	0	0	0
160319967-stool1_GL0092985	1	0	0	0	0	0	0	0	0	0
MH0227_GL0144510	1	0	0	0	0	0	0	0	0	0
159713063-stool1_GL0065194	1	0	0	0	0	0	0	0	0	0
MH0094_GL0122132	1	0	0	0	0	0	0	0	0	0
159571453-stool1_GL0090667	1	0	0	0	0	0	0	0	0	0
MH0109_GL0014489	1	0	0	0	0	0	0	0	0	0
MH0094_GL0063547	1	0	0	0	0	0	0	0	0	0
MH0094_GL0092483	1	0	0	0	0	0	0	0	0	0
MH0094_GL0052817	1	0	0	0	0	0	0	0	0	0
H_P1_gene_320805	1	0	0	0	0	0	0	0	0	0
763860675-stool2_GL0038835	1	0	0	0	0	0	0	0	0	0
MH0010_GL0003636	1	0	0	0	0	0	0	0	0	0
MH0094_GL0118943	1	0	0	0	0	0	0	0	0	0
MH0094_GL0076964	1	0	0	0	0	0	0	0	0	0
AS34:gene_id_37011	1	0	0	0	0	0	0	0	0	0
MH0121_GL0071435	1	0	0	0	0	0	0	0	0	0
MH0010_GL0018026	1	0	0	0	0	0	0	0	0	0
MH0094_GL0038051	1	0	0	0	0	0	0	0	0	0
SRA03_contig:gene_id_38172	1	0	0	0	0	0	0	0	0	0
MH0094_GL0016982	1	0	0	0	0	0	0	0	0	0
V1.UC51-4_GL0110433	1	0	0	0	0	0	0	0	0	0
MH0109_GL0019631	1	0	0	0	0	0	0	0	0	0
MH0094_GL0049773	1	0	0	0	0	0	0	0	0	0
AS34:gene_id_36924	1	0	0	0	0	0	0	0	0	0
MH0426_GL0094993	1	0	0	0	0	0	0	0	0	0
MH0094_GL0132243	1	0	0	0	0	0	0	0	0	0
MH0010_GL0029873	1	0	0	0	0	0	0	0	0	0
MH0094_GL0074982	1	0	0	0	0	0	0	0	0	0
O2.UC11-1_GL0176369	1	0	0	0	0	0	0	0	0	0
MH0108_GL0079541	1	0	0	0	0	0	0	0	0	0
MH0108_GL0066544	1	0	0	0	0	0	0	0	0	0
MH0010_GL0007557	1	0	0	0	0	0	0	0	0	0
AS34:gene_id_28091	1	0	0	0	0	0	0	0	0	0
RA08_contig:gene_id_23196	1	0	0	0	0	0	0	0	0	0
V1.CD17-4_GL0105241	1	0	0	0	0	0	0	0	0	0
MH0010_GL0020298	1	0	0	0	0	0	0	0	0	0
AS34:gene_id_28844	1	0	0	0	0	0	0	0	0	0
MH0094_GL0092484	1	0	0	0	0	0	0	0	0	0
MH0094_GL0066098	1	0	0	0	0	0	0	0	0	0
MH0094_GL0124772	1	0	0	0	0	0	0	0	0	0
MH0010_GL0017933	1	0	0	0	0	0	0	0	0	0
SRA03_contig:gene_id_136639	1	0	0	0	0	0	0	0	0	0
MH0128_GL0084751	1	0	0	0	0	0	0	0	0	0
MH0128_GL0048277	1	0	0	0	0	0	0	0	0	0
V1.CD53-0_GL0002899	1	0	0	0	0	0	0	0	0	0
MH0010_GL0040073	1	0	0	0	0	0	0	0	0	0
MH0109_GL0059221	1	0	0	0	0	0	0	0	0	0
MH0010_GL0005670	1	0	0	0	0	0	0	0	0	0
159571453-stool1_GL0130018	1	0	0	0	0	0	0	0	0	0
AS34:gene_id_31788	1	0	0	0	0	0	0	0	0	0
MH0094_GL0077039	1	0	0	0	0	0	0	0	0	0
MH0094_GL0072970	1	0	0	0	0	0	0	0	0	0
159713063-stool1_GL0033928	1	0	0	0	0	0	0	0	0	0
AS34:gene_id_29046	1	0	0	0	0	0	0	0	0	0
MH0426_GL0050187	1	0	0	0	0	0	0	0	0	0
MH0128_GL0083603	1	0	0	0	0	0	0	0	0	0
AS34:gene_id_26159	1	0	0	0	0	0	0	0	0	0
MH0094_GL0038050	1	0	0	0	0	0	0	0	0	0
MH0094_GL0098914	1	0	0	0	0	0	0	0	0	0
O2.UC35-0_GL0130256	1	0	0	0	0	0	0	0	0	0
MH0094_GL0117182	1	0	0	0	0	0	0	0	0	0
RA08_contig:gene_id_37493	1	0	0	0	0	0	0	0	0	0
159632143-stool1_GL0072785	1	0	0	0	0	0	0	0	0	0
159571453-stool1_GL0119202	1	0	0	0	0	0	0	0	0	0
SRA03_contig:gene_id_72708	1	0	0	0	0	0	0	0	0	0
MH0094_GL0008283	1	0	0	0	0	0	0	0	0	0
V1.UC5-0_GL0102120	1	0	0	0	0	0	0	0	0	0
MH0094_GL0076966	1	0	0	0	0	0	0	0	0	0
MH0169_GL0042497	1	0	0	0	0	0	0	0	0	0
MH0094_GL0071433	1	0	0	0	0	0	0	0	0	0
O2.UC47-1_GL0013710	1	0	0	0	0	0	0	0	0	0
MH0108_GL0025198	1	0	0	0	0	0	0	0	0	0
MH0094_GL0108646	1	0	0	0	0	0	0	0	0	0
159713063-stool1_GL0003614	1	0	0	0	0	0	0	0	0	0
RA08_contig:gene_id_10806	1	0	0	0	0	0	0	0	0	0
O2.UC35-0_GL0046183	1	0	0	0	0	0	0	0	0	0
AS34:gene_id_35993	1	0	0	0	0	0	0	0	0	0
O2.UC48-2_GL0039246	1	0	0	0	0	0	0	0	0	0
V1.CD2-0-PN_GL0044964	1	0	0	0	0	0	0	0	0	0
V1.UC46-0_GL0079174	1	0	0	0	0	0	0	0	0	0
MH0010_GL0027763	1	0	0	0	0	0	0	0	0	0
AS34:gene_id_31566	1	0	0	0	0	0	0	0	0	0
MH0429_GL0174769	1	0	0	0	0	0	0	0	0	0
159571453-stool1_GL0094195	1	0	0	0	0	0	0	0	0	0
MH0094_GL0119819	1	0	0	0	0	0	0	0	0	0
AS34:gene_id_31990	1	0	0	0	0	0	0	0	0	0
MH0094_GL0005453	1	0	0	0	0	0	0	0	0	0
MH0097_GL0063383	1	0	0	0	0	0	0	0	0	0
159227541-stool1_GL0089166	1	0	0	0	0	0	0	0	0	0
RA08_contig:gene_id_63096	1	0	0	0	0	0	0	0	0	0
AS34:gene_id_29239	1	0	0	0	0	0	0	0	0	0
MH0094_GL0136034	1	0	0	0	0	0	0	0	0	0
MH0010_GL0036476	1	0	0	0	0	0	0	0	0	0
MH0010_GL0029280	1	0	0	0	0	0	0	0	0	0
MH0363_GL0075409	1	0	0	0	0	0	0	0	0	0
RA08_contig:gene_id_50208	1	0	0	0	0	0	0	0	0	0
MH0109_GL0026320	1	0	0	0	0	0	0	0	0	0
159571453-stool1_GL0024302	1	0	0	0	0	0	0	0	0	0
MH0418_GL0170511	1	0	0	0	0	0	0	0	0	0
MH0094_GL0083341	1	0	0	0	0	0	0	0	0	0
O2.UC48-1_GL0042458	1	0	0	0	0	0	0	0	0	0
MH0457_GL0270122	1	0	0	0	0	0	0	0	0	0
O2.UC35-1_GL0007473	1	0	0	0	0	0	0	0	0	0
MH0094_GL0135663	1	0	0	0	0	0	0	0	0	0
AS34:gene_id_46092	1	0	0	0	0	0	0	0	0	0
MH0178_GL0032302	1	0	0	0	0	0	0	0	0	0
MH0010_GL0000448	1	0	0	0	0	0	0	0	0	0
V1.UC46-0_GL0063230	1	0	0	0	0	0	0	0	0	0
AS34:gene_id_34964	1	0	0	0	0	0	0	0	0	0
MH0010_GL0038116	1	0	0	0	0	0	0	0	0	0
160319967-stool1_GL0005807	1	0	0	0	0	0	0	0	0	0
MH0094_GL0070150	1	0	0	0	0	0	0	0	0	0
MH0094_GL0116512	1	0	0	0	0	0	0	0	0	0
MH0108_GL0103845	1	0	0	0	0	0	0	0	0	0
MH0128_GL0028033	1	0	0	0	0	0	0	0	0	0
MH0010_GL0017132	1	0	0	0	0	0	0	0	0	0
MH0010_GL0007426	1	0	0	0	0	0	0	0	0	0
MH0292_GL0080365	1	0	0	0	0	0	0	0	0	0
MH0094_GL0123212	1	0	0	0	0	0	0	0	0	0
MH0094_GL0129892	1	0	0	0	0	0	0	0	0	0
AS34:gene_id_30831	1	0	0	0	0	0	0	0	0	0
MH0010_GL0042330	1	0	0	0	0	0	0	0	0	0
MH0010_GL0032214	1	0	0	0	0	0	0	0	0	0
MH0094_GL0049656	1	0	0	0	0	0	0	0	0	0
MH0094_GL0049658	1	0	0	0	0	0	0	0	0	0
MH0109_GL0042951	1	0	0	0	0	0	0	0	0	0
SRA02_contig:gene_id_211165	1	0	0	0	0	0	0	0	0	0
MH0010_GL0043424	1	0	0	0	0	0	0	0	0	0
765074482-stool1_GL0019684	1	0	0	0	0	0	0	0	0	0
O2.UC38-1_GL0057890	1	0	0	0	0	0	0	0	0	0
MH0010_GL0023225	1	0	0	0	0	0	0	0	0	0
MH0094_GL0138769	1	0	0	0	0	0	0	0	0	0
MH0109_GL0048017	1	0	0	0	0	0	0	0	0	0
MH0094_GL0056746	1	0	0	0	0	0	0	0	0	0
MH0094_GL0049768	1	0	0	0	0	0	0	0	0	0
MH0094_GL0076508	1	0	0	0	0	0	0	0	0	0
AS34:gene_id_30093	1	0	0	0	0	0	0	0	0	0
SRA03_contig:gene_id_7945	1	0	0	0	0	0	0	0	0	0
MH0010_GL0012394	1	0	0	0	0	0	0	0	0	0
159571453-stool1_GL0098692	1	0	0	0	0	0	0	0	0	0
O2.UC44-2_GL0057317	1	0	0	0	0	0	0	0	0	0
MH0094_GL0049660	1	0	0	0	0	0	0	0	0	0
159571453-stool1_GL0125033	1	0	0	0	0	0	0	0	0	0
MH0094_GL0037529	1	0	0	0	0	0	0	0	0	0
V1.CD17-4_GL0105798	1	0	0	0	0	0	0	0	0	0
O2.UC47-0_GL0085039	1	0	0	0	0	0	0	0	0	0
O2.UC35-2_GL0133146	1	0	0	0	0	0	0	0	0	0
MH0010_GL0033076	1	0	0	0	0	0	0	0	0	0
MH0094_GL0093073	1	0	0	0	0	0	0	0	0	0
MH0109_GL0081935	1	0	0	0	0	0	0	0	0	0
MH0010_GL0031087	1	0	0	0	0	0	0	0	0	0
159227541-stool3_GL0077297	1	0	0	0	0	0	0	0	0	0
RA08_contig:gene_id_12618	1	0	0	0	0	0	0	0	0	0
AS34:gene_id_42722	1	0	0	0	0	0	0	0	0	0
MH0363_GL0168611	1	0	0	0	0	0	0	0	0	0
MH0094_GL0020361	1	0	0	0	0	0	0	0	0	0
AS34:gene_id_26674	1	0	0	0	0	0	0	0	0	0
SRA03_contig:gene_id_126126	1	0	0	0	0	0	0	0	0	0
HD-57:gene_id_48504	1	0	0	0	0	0	0	0	0	0
MH0121_GL0070978	1	0	0	0	0	0	0	0	0	0
MH0094_GL0071434	1	0	0	0	0	0	0	0	0	0
159571453-stool1_GL0006196	1	0	0	0	0	0	0	0	0	0
159632143-stool1_GL0050468	1	0	0	0	0	0	0	0	0	0
MH0010_GL0039170	1	0	0	0	0	0	0	0	0	0
MH0094_GL0107590	1	0	0	0	0	0	0	0	0	0
AS34:gene_id_35289	1	0	0	0	0	0	0	0	0	0
MH0094_GL0049504	1	0	0	0	0	0	0	0	0	0
MH0094_GL0092479	1	0	0	0	0	0	0	0	0	0
MH0094_GL0033249	1	0	0	0	0	0	0	0	0	0
RA08_contig:gene_id_54037	1	0	0	0	0	0	0	0	0	0
MH0094_GL0050027	1	0	0	0	0	0	0	0	0	0
MH0245_GL0113506	1	0	0	0	0	0	0	0	0	0
MH0010_GL0015941	1	0	0	0	0	0	0	0	0	0
764508039-stool1_GL0046313	1	0	0	0	0	0	0	0	0	0
AS34:gene_id_30092	1	0	0	0	0	0	0	0	0	0
159713063-stool1_GL0055342	1	0	0	0	0	0	0	0	0	0
159571453-stool1_GL0084794	1	0	0	0	0	0	0	0	0	0
MH0128_GL0020541	1	0	0	0	0	0	0	0	0	0
159632143-stool1_GL0065407	1	0	0	0	0	0	0	0	0	0
MH0393_GL0068631	1	0	0	0	0	0	0	0	0	0
RA08_contig:gene_id_70619	1	0	0	0	0	0	0	0	0	0
AS34:gene_id_31068	1	0	0	0	0	0	0	0	0	0
MH0109_GL0042896	1	0	0	0	0	0	0	0	0	0
MH0178_GL0037332	1	0	0	0	0	0	0	0	0	0
MH0010_GL0034249	1	0	0	0	0	0	0	0	0	0
MH0010_GL0019538	1	0	0	0	0	0	0	0	0	0
AS34:gene_id_41368	1	0	0	0	0	0	0	0	0	0
MH0094_GL0049779	1	0	0	0	0	0	0	0	0	0
MH0094_GL0123295	1	0	0	0	0	0	0	0	0	0
AS34:gene_id_56207	1	0	0	0	0	0	0	0	0	0
H_P1_gene_122795	1	0	0	0	0	0	0	0	0	0
V1.FI04_GL0054057	1	0	0	0	0	0	0	0	0	0
MH0109_GL0002990	1	0	0	0	0	0	0	0	0	0
MH0094_GL0009127	1	0	0	0	0	0	0	0	0	0
MH0094_GL0108777	1	0	0	0	0	0	0	0	0	0
MH0010_GL0002174	1	0	0	0	0	0	0	0	0	0
MH0094_GL0086693	1	0	0	0	0	0	0	0	0	0
MH0094_GL0094253	1	0	0	0	0	0	0	0	0	0
MH0160_GL0039561	1	0	0	0	0	0	0	0	0	0
AS34:gene_id_35897	1	0	0	0	0	0	0	0	0	0
MH0094_GL0092398	1	0	0	0	0	0	0	0	0	0
MH0094_GL0092477	1	0	0	0	0	0	0	0	0	0
MH0094_GL0068992	1	0	0	0	0	0	0	0	0	0
MH0128_GL0064209	1	0	0	0	0	0	0	0	0	0
763536994-stool1_GL0079568	1	0	0	0	0	0	0	0	0	0
V1.FI36_GL0097677	1	0	0	0	0	0	0	0	0	0
MH0311_GL0015895	1	0	0	0	0	0	0	0	0	0
SRA03_contig:gene_id_91685	1	0	0	0	0	0	0	0	0	0
SRA03_contig:gene_id_70240	1	0	0	0	0	0	0	0	0	0
RA08_contig:gene_id_33456	1	0	0	0	0	0	0	0	0	0
MH0404_GL0033835	1	0	0	0	0	0	0	0	0	0
764508039-stool1_GL0047964	1	0	0	0	0	0	0	0	0	0
MH0121_GL0023324	1	0	0	0	0	0	0	0	0	0
MH0196_GL0021391	1	0	0	0	0	0	0	0	0	0
RA08_contig:gene_id_26781	1	0	0	0	0	0	0	0	0	0
MH0121_GL0019559	1	0	0	0	0	0	0	0	0	0
MH0094_GL0113115	1	0	0	0	0	0	0	0	0	0
159571453-stool1_GL0053434	1	0	0	0	0	0	0	0	0	0
RA08_contig:gene_id_55331	1	0	0	0	0	0	0	0	0	0
MH0010_GL0036841	1	0	0	0	0	0	0	0	0	0
AS34:gene_id_26673	1	0	0	0	0	0	0	0	0	0
MH0094_GL0132710	1	0	0	0	0	0	0	0	0	0
RA08_contig:gene_id_23682	1	0	0	0	0	0	0	0	0	0
159227541-stool1_GL0015218	1	0	0	0	0	0	0	0	0	0
T2D-127A_GL0070531	1	0	0	0	0	0	0	0	0	0
MH0094_GL0086695	1	0	0	0	0	0	0	0	0	0
MH0094_GL0122138	1	0	0	0	0	0	0	0	0	0
MH0010_GL0004363	1	0	0	0	0	0	0	0	0	0
MH0010_GL0006253	1	0	0	0	0	0	0	0	0	0
MH0094_GL0026795	1	0	0	0	0	0	0	0	0	0
MH0429_GL0038005	1	0	0	0	0	0	0	0	0	0
MH0128_GL0067788	1	0	0	0	0	0	0	0	0	0
SRA03_contig:gene_id_253285	1	0	0	0	0	0	0	0	0	0
MH0109_GL0067260	1	0	0	0	0	0	0	0	0	0
MH0010_GL0028236	1	0	0	0	0	0	0	0	0	0
MH0128_GL0069041	1	0	0	0	0	0	0	0	0	0
MH0097_GL0084647	1	0	0	0	0	0	0	0	0	0
V1.UC51-4_GL0160479	1	0	0	0	0	0	0	0	0	0
MH0094_GL0108790	1	0	0	0	0	0	0	0	0	0
MH0094_GL0070632	1	0	0	0	0	0	0	0	0	0
MH0246_GL0078581	1	0	0	0	0	0	0	0	0	0
V1.CD8-0-PN_GL0113120	1	0	0	0	0	0	0	0	0	0
MH0094_GL0113436	1	0	0	0	0	0	0	0	0	0
MH0162_GL0105386	1	0	0	0	0	0	0	0	0	0
AS34:gene_id_26615	1	0	0	0	0	0	0	0	0	0
159571453-stool1_GL0054628	1	0	0	0	0	0	0	0	0	0
MH0094_GL0056745	1	0	0	0	0	0	0	0	0	0
MH0108_GL0106750	1	0	0	0	0	0	0	0	0	0
MH0094_GL0049766	1	0	0	0	0	0	0	0	0	0
SRA02_contig:gene_id_100009	1	0	0	0	0	0	0	0	0	0
MH0094_GL0077048	1	0	0	0	0	0	0	0	0	0
MH0292_GL0010075	1	0	0	0	0	0	0	0	0	0
MH0094_GL0105768	1	0	0	0	0	0	0	0	0	0
MH0108_GL0024857	1	0	0	0	0	0	0	0	0	0
RA08_contig:gene_id_90754	1	0	0	0	0	0	0	0	0	0
MH0094_GL0126925	1	0	0	0	0	0	0	0	0	0
MH0094_GL0092485	1	0	0	0	0	0	0	0	0	0
O2.UC47-0_GL0132367	1	0	0	0	0	0	0	0	0	0
AS34:gene_id_37232	1	0	0	0	0	0	0	0	0	0
SRA03_contig:gene_id_65652	1	0	0	0	0	0	0	0	0	0
O2.UC38-1_GL0065150	1	0	0	0	0	0	0	0	0	0
MH0435_GL0148173	1	0	0	0	0	0	0	0	0	0
RA08_contig:gene_id_27980	1	0	0	0	0	0	0	0	0	0
MH0162_GL0056957	1	0	0	0	0	0	0	0	0	0
MH0010_GL0014825	1	0	0	0	0	0	0	0	0	0
MH0094_GL0038044	1	0	0	0	0	0	0	0	0	0
AS34:gene_id_35708	1	0	0	0	0	0	0	0	0	0
AS34:gene_id_26775	1	0	0	0	0	0	0	0	0	0
159571453-stool1_GL0116792	1	0	0	0	0	0	0	0	0	0
MH0010_GL0015958	1	0	0	0	0	0	0	0	0	0
MH0010_GL0033036	1	0	0	0	0	0	0	0	0	0
O2.UC41-0_GL0121003	1	0	0	0	0	0	0	0	0	0
MH0128_GL0083578	1	0	0	0	0	0	0	0	0	0
RA12_contig:gene_id_175903	1	0	0	0	0	0	0	0	0	0
AS34:gene_id_32491	1	0	0	0	0	0	0	0	0	0
SRA03_contig:gene_id_110286	1	0	0	0	0	0	0	0	0	0
MH0094_GL0018751	1	0	0	0	0	0	0	0	0	0
RA08_contig:gene_id_31455	1	0	0	0	0	0	0	0	0	0
MH0094_GL0116513	1	0	0	0	0	0	0	0	0	0
MH0094_GL0027604	1	0	0	0	0	0	0	0	0	0
160319967-stool1_GL0000260	1	0	0	0	0	0	0	0	0	0
MH0094_GL0054642	1	0	0	0	0	0	0	0	0	0
159571453-stool1_GL0014016	1	0	0	0	0	0	0	0	0	0
763496533-stool2_GL0104349	1	0	0	0	0	0	0	0	0	0
AS34:gene_id_36130	1	0	0	0	0	0	0	0	0	0
MH0094_GL0083334	1	0	0	0	0	0	0	0	0	0
AS34:gene_id_46331	1	0	0	0	0	0	0	0	0	0
MH0094_GL0018237	1	0	0	0	0	0	0	0	0	0
MH0109_GL0050756	1	0	0	0	0	0	0	0	0	0
MH0128_GL0015094	1	0	0	0	0	0	0	0	0	0
SRA03_contig:gene_id_7944	1	0	0	0	0	0	0	0	0	0
RA08_contig:gene_id_40327	1	0	0	0	0	0	0	0	0	0
AS34:gene_id_44518	1	0	0	0	0	0	0	0	0	0
RA08_contig:gene_id_15586	1	0	0	0	0	0	0	0	0	0
MH0435_GL0159351	1	0	0	0	0	0	0	0	0	0
MH0094_GL0026792	1	0	0	0	0	0	0	0	0	0
RA08_contig:gene_id_45650	1	0	0	0	0	0	0	0	0	0
SRA00_contig:gene_id_158649	1	0	0	0	0	0	0	0	0	0
