gene_name	ko
O2.UC8-0_GL0065321	K17108
O2.UC8-0_GL0065321	K12373
O2.UC8-0_GL0065321	K01206
MH0337_GL0073127	K03637
O2.UC6-1_GL0083484	K03307
S_P2_gene_498517	K02122
O2.UC37-0_GL0030354	K02015
AS18:gene_id_44985	K03545
MH0013_GL0035217	K03147
L80_gene_2446	K05396
L80_gene_2446	K17950
L80_gene_2446	K01505
MH0373_GL0057195	K01599
MH0238_GL0197030	K01262
T2D-78A_GL0111384	K21573
O2.UC8-0_GL0112184	K01647
MH0158_GL0002769	K07648
MH0158_GL0002769	K07647
MH0158_GL0002769	K19694
MH0158_GL0002769	K20974
MH0158_GL0002769	K07677
MH0308_GL0136110	K01113
MH0308_GL0136110	K18398
MH0308_GL0136110	K05310
MH0308_GL0136110	K18424
MH0308_GL0136110	K12354
MH0308_GL0136110	K01513
MH0308_GL0136110	K05288
MH0308_GL0136110	K19670
MH0308_GL0136110	K05285
MH0053_GL0039942	K00348
AS77:gene_id_61209	K01438
O2.UC16-0_GL0009451	K07085
MH0013_GL0007788	K03553
MH0246_GL0066844	K00983
MH0246_GL0066844	K18431
MH0142_GL0041054	K00786
H65_gene_23616	K04066
HD-41:gene_id_9167	K09825
HD-41:gene_id_9167	K03711
T2D-29A_GL0030624	K07277
T2D-29A_GL0030624	K07278
MH0238_GL0105931	K06180
O2.UC36-2_GL0101807	K07133
158944319-stool2_GL0074022	K11645
O2.UC8-0_GL0036910	K02014
MH0055_GL0039848	K11749
MH0244_GL0124943	K01938
NOM009_GL0096786	K03654
MH0286_GL0068064	K01129
MH0071_GL0065627	K01817
MH0192_GL0104677	K21572
MH0238_GL0038995	K04763
MH0238_GL0038995	K03733
HD-60:gene_id_65463	K07454
MH0311_GL0144316	K21573
S_P1_gene_556667	K21572
MH0131_GL0044733	K00197
O2.UC8-0_GL0056250	K12573
MH0094_GL0008830	K02484
MH0094_GL0008830	K07644
H_P2_gene_251489	K02529
T2D-45A_GL0120348	K06959
508703490-stool1_GL0091030	K03832
T2D-102A_GL0018698	K13771
T2D-102A_GL0018698	K13643
V1.UC64-0_GL0127759	K00767
N003A_GL0044334	K02429
MH0046_GL0030012	K10206
MH0374_GL0045976	K00012
O2.UC8-0_GL0125142	K01591
MH0378_GL0139080	K07270
MH0211_GL0155113	K07506
L104_gene_88243	K01277
L81_gene_9583	K20971
L81_gene_9583	K02855
MH0246_GL0009519	K00700
MH0013_GL0034105	K21573
S_P1_gene_426674	K03699
T2D-135A_GL0088418	K01607
MH0336_GL0137451	K00764
V1.UC50-1_GL0025493	K21573
V1.UC50-1_GL0025493	K02014
MH0055_GL0038096	K03790
MH0055_GL0038096	K01744
MH0055_GL0038096	K03827
MH0055_GL0038096	K03574
MH0224_GL0098893	K07114
MH0246_GL0094185	K07165
MH0321_GL0007378	K18785
MH0131_GL0043111	K03100
L70_gene_76325	K00683
L63_gene_60489	K03585
L63_gene_60489	K13888
L63_gene_60489	K18306
MH0094_GL0007850	K07277
MH0357_GL0089957	K18422
MH0357_GL0089957	K19783
MH0357_GL0089957	K10742
MH0357_GL0089957	K19036
O2.UC38-1_GL0150030	K03979
V1.CD43-0_GL0055706	K02651
MH0128_GL0052432	K03088
O2.UC3-2_GL0006623	K01066
O2.UC3-2_GL0006623	K15889
O2.UC3-2_GL0006623	K01051
O2.UC3-2_GL0006623	K01432
MH0426_GL0133182	K07263
HD-21:gene_id_33673	K16701
HD-21:gene_id_33673	K00712
HD-21:gene_id_33673	K17249
N013A_GL0016293	K02426
MH0238_GL0171960	K07636
T2D-45A_GL0112109	K03644
T2D-45A_GL0112109	K03800
V1.FI19_GL0108127	K02056
H_P1_gene_75671	K01591
MH0161_GL0137608	K02034
MH0161_GL0137608	K15586
159571453-stool1_GL0027703	K01201
MH0311_GL0053952	K01790
HD-81:gene_id_30617	K05349
L126_gene_18987	K03832
L118_gene_14986	K07762
S_P2_gene_12648	K06404
MH0094_GL0037529	K03322
T2D-6A_GL0144091	K07165
NOM009_GL0084844	K04028
HD-60:gene_id_58348	K01515
MH0088_GL0027202	K02231
MH0071_GL0007158	K04758
MH0301_GL0028508	K01447
AS11:gene_id_47841	K03088
T2D-102A_GL0025751	K17076
AS54:gene_id_10213	K19304
AS54:gene_id_10213	K21471
AS54:gene_id_10213	K01447
O2.CD2-0-PT_GL0035042	K10439
MH0196_GL0086965	K07085
H65_gene_2128	K02503
RA01_contig:gene_id_222191	K13292
MH0120_GL0038510	K19355
MH0355_GL0041595	K07636
MH0355_GL0041595	K02484
AS104:gene_id_1583	K04744
MH0428_GL0026065	K03770
L70_gene_28732	K13599
O2.UC8-0_GL0067106	K02037
MH0121_GL0038672	K20444
MH0121_GL0038672	K12983
T2D-45A_GL0011884	K02945
MH0065_GL0006776	K01101
MH0421_GL0141680	K18707
T2D-45A_GL0143906	K03773
T2D-45A_GL0143906	K01802
MH0001_GL0002001	K15095
MH0001_GL0002001	K00059
MH0001_GL0002001	K13368
T2D-45A_GL0034293	K02879
V1.CD51-0_GL0241773	K02864
SZEY-103A_GL0074872	K00895
MH0109_GL0007650	K00265
MH0109_GL0007650	K00284
AS84:gene_id_15518	K07165
HD-62:gene_id_58572	K09117
MH0393_GL0002492	K11383
MH0393_GL0002492	K07652
MH0393_GL0002492	K07651
159227541-stool1_GL0003695	K10706
159227541-stool1_GL0003695	K10742
159227541-stool1_GL0003695	K18422
159227541-stool1_GL0003695	K19783
RA10_contig:gene_id_33222	K15923
MH0211_GL0179297	K11751
MH0211_GL0179297	K01081
MH0211_GL0179297	K08693
MH0311_GL0097052	K01768
MH0311_GL0097052	K19694
MH0311_GL0097052	K20971
RA00_contig:gene_id_158748	K00287
AS40:gene_id_36078	K02902
AS40:gene_id_36078	K18649
HD-45:gene_id_11727	K01784
HD-45:gene_id_11727	K08679
160400887-stool1_GL0221637	K21573
L32_gene_28685	K13683
V1.UC47-4_GL0137883	K10117
O2.UC41-2_GL0042279	K03786
RA08_contig:gene_id_65411	K03210
MH0131_GL0029729	K02528
MH0124_GL0090393	K01867
MH0109_GL0081277	K16150
MH0109_GL0081277	K20922
MH0121_GL0027368	K01802
MH0121_GL0027368	K03768
MH0246_GL0117402	K01547
MH0238_GL0101770	K01966
AS37:gene_id_9540	K06142
AS37:gene_id_10177	K15987
MH0055_GL0039581	K02342
MH0001_GL0017054	K02536
MH0428_GL0053446	K03771
H91_gene_21342	K06079
RA02_contig:gene_id_42986	K00128
T2D-78A_GL0027225	K01843
MH0238_GL0123856	K19239
H75_gene_5344	K01270
SRA02_contig:gene_id_163467	K00975
SRA02_contig:gene_id_163467	K18189
MH0246_GL0034638	K21573
MH0013_GL0008551	K01719
MH0292_GL0020148	K07741
MH0428_GL0184615	K03147
MH0128_GL0069469	K07488
MH0128_GL0069469	K07489
L104_gene_102597	K01077
AS133:gene_id_47505	K00820
V1.CD41-0_GL0152563	K00010
S_P1_gene_130083	K03553
MH0055_GL0053660	K11991
MH0161_GL0104225	K01206
160158126-stool2_GL0050959	K03924
O2.UC24-0_GL0012876	K06921
V1.CD20-4_GL0086193	K18908
MH0055_GL0073130	K12373
MH0211_GL0183441	K02445
MH0238_GL0047946	K03088
L18_gene_44260	K19068
MH0321_GL0075975	K01921
O2.UC57-0_GL0064680	K01818
MH0227_GL0080237	K03088
MH0266_GL0030009	K07504
O2.UC8-0_GL0047867	K02445
O2.UC8-0_GL0047867	K07783
O2.UC8-0_GL0047867	K08171
MH0071_GL0017058	K02982
MH0286_GL0118702	K16089
O2.CD1-0-PT_GL0119340	K07038
MH0071_GL0054000	K01768
MH0071_GL0054000	K19694
MH0071_GL0054000	K13924
MH0071_GL0054000	K03407
MH0238_GL0153752	K15635
MH0238_GL0111093	K01990
AS40:gene_id_23654	K01258
SRA02_contig:gene_id_455631	K06217
MH0055_GL0022440	K00346
T2D-45A_GL0057155	K07058
MH0341_GL0105397	K01955
MH0341_GL0105397	K01738
MH0341_GL0105397	K01755
MH0341_GL0105397	K14755
MH0055_GL0031470	K12373
MH0055_GL0073478	K03111
MH0224_GL0148118	K01805
MH0238_GL0154394	K06975
L15_gene_9718	K03657
T2D-45A_GL0106292	K00133
MH0131_GL0094374	K01448
T2D-73A_GL0012843	K07484
MH0238_GL0071373	K01258
MH0074_GL0023935	K13013
MH0074_GL0023935	K19421
MH0188_GL0154485	K02433
T2D-45A_GL0043142	K00759
MH0238_GL0040378	K01077
MH0238_GL0040378	K03975
MH0238_GL0040378	K19302
T2D-45A_GL0091767	K05837
MH0238_GL0174091	K00800
O2.UC8-0_GL0111180	K07091
RA08_contig:gene_id_45650	K19955
MH0128_GL0064209	K00817
MH0128_GL0064209	K17792
MH0128_GL0064209	K11022
MH0128_GL0064209	K07164
SRA01_contig:gene_id_1111	K04043
V1.FI26_GL0227721	K01258
AS37:gene_id_19478	K06079
MH0374_GL0145286	K01447
L115_gene_72010	K07165
H36_gene_15399	K03088
MH0428_GL0194099	K00111
AS22:gene_id_27567	K07259
HD-52:gene_id_55721	K03614
MH0071_GL0018976	K01810
O2.UC11-1_GL0092357	K21573
MH0078_GL0008884	K01442
MH0188_GL0057255	K03648
DLM001_GL0039694	K01768
DLM001_GL0039694	K19694
DLM001_GL0039694	K20971
MH0416_GL0188589	K01892
L115_gene_61503	K05837
765034022-stool1_GL0008632	K03088
NOM019_GL0073478	K07221
V1.UC33-0_GL0091526	K03151
MH0336_GL0052513	K00700
158458797-stool1_GL0010368	K21573
O2.UC46-0_GL0031000	K07658
O2.UC35-2_GL0125928	K17318
H109_gene_15958	K07154
L32_gene_62264	K01993
MH0301_GL0011109	K02048
HD-62:gene_id_37893	K02005
MH0224_GL0163854	K01056
MH0238_GL0032794	K02838
O2.UC36-1_GL0074750	K01190
SRA00_contig:gene_id_49835	K07003
RA08_contig:gene_id_17127	K21573
MH0238_GL0027774	K02004
H91_gene_12102	K02549
H91_gene_12102	K19802
159571453-stool1_GL0010456	K01495
N075A_GL0098406	K02916
158337416-stool2_GL0010576	K02520
L70_gene_46691	K13924
L70_gene_46691	K07647
L70_gene_46691	K03320
L70_gene_46691	K07679
L70_gene_46691	K11527
L70_gene_46691	K02030
MH0131_GL0152030	K06183
O2.UC17-2_GL0032674	K07133
MH0094_GL0017983	K01990
MH0071_GL0020247	K01476
MH0238_GL0096609	K02342
MH0238_GL0067633	K01887
SRA02_contig:gene_id_44381	K01703
MH0238_GL0140872	K03327
MH0152_GL0079708	K16153
MH0152_GL0079708	K00693
O2.UC22-1_GL0072512	K14058
T2D-45A_GL0060620	K01069
T2D-45A_GL0060620	K17725
MH0055_GL0013005	K04043
Unknow_GL0029736	K00768
O2.UC30-0_GL0007942	K00847
RA15_contig:gene_id_69918	K03040
MH0357_GL0146222	K00018
159227541-stool3_GL0071212	K04069
T2D-109A_GL0031042	K07698
T2D-109A_GL0031042	K07652
T2D-109A_GL0031042	K02486
T2D-109A_GL0031042	K13532
HD-70:gene_id_5405	K09384
V1.UC53-0_GL0126346	K03439
SRA02_contig:gene_id_59015	K06920
MH0192_GL0155573	K01992
MH0261_GL0074594	K00600
NOM023_GL0030297	K18139
160400887-stool1_GL0195634	K06196
160400887-stool1_GL0195634	K02199
DLF013_GL0017433	K01811
O2.UC37-0_GL0028034	K21572
MH0246_GL0094353	K01775
MH0055_GL0039847	K01278
763840445-stool2_GL0098736	K00287
MH0026_GL0026511	K00996
MH0026_GL0026511	K20997
H_P1_gene_360618	K03501
H_P2_gene_293877	K01749
H_P2_gene_293877	K13542
DLF004_GL0038088	K21573
MH0097_GL0075002	K21572
MH0238_GL0058790	K06147
HD-26:gene_id_37751	K02114
MH0280_GL0012981	K21573
159227541-stool3_GL0080900	K21449
H_P1_gene_181676	K08316
MH0276_GL0150901	K07484
T2D-45A_GL0062529	K01627
MH0251_GL0164563	K02804
MH0311_GL0046022	K03770
MH0246_GL0082652	K02600
O2.UC4-1_GL0126397	K03671
V1.FI16_GL0071805	K07798
V1.FI16_GL0071805	K15727
V1.FI16_GL0071805	K03585
V1.FI16_GL0071805	K07799
H65_gene_79000	K06287
MH0131_GL0033697	K02469
AS133:gene_id_16851	K06406
H80_gene_67755	K01768
H80_gene_67755	K19694
T2D-109A_GL0122522	K20429
MH0138_GL0042602	K01710
MH0138_GL0042602	K08678
MH0238_GL0150327	K14441
T2D-45A_GL0133996	K04084
L40_gene_74087	K01588
MH0260_GL0116346	K03086
O2.UC6-0_GL0009973	K03654
O2.UC4-1_GL0053712	K07139
MH0046_GL0051153	K01091
MH0131_GL0095070	K07219
SRA03_contig:gene_id_231976	K01265
SZEY-37A_GL0101891	K03147
MH0071_GL0057687	K14379
L124_gene_10086	K01190
RA02_contig:gene_id_35442	K00763
T2D-45A_GL0128941	K07001
MH0060_GL0066863	K19418
O2.CD2-0_GL0031812	K10439
O2.CD2-0_GL0031812	K02058
MH0211_GL0134005	K21573
MH0238_GL0181153	K19294
MH0407_GL0143967	K01955
MH0161_GL0022847	K01933
HD-58:gene_id_18513	K00177
159207311-stool2_GL0189795	K21572
AS133:gene_id_23663	K03437
MH0094_GL0079465	K21573
MH0142_GL0053272	K04068
V1.CD36-0_GL0115104	K03606
V1.CD36-0_GL0115104	K21303
MH0005_GL0012042	K16089
MH0005_GL0012042	K21573
MH0005_GL0012042	K02014
V1.FI06_GL0141670	K06889
MH0026_GL0004858	K04096
NLM015_GL0048114	K02030
NLM015_GL0048114	K07137
MH0013_GL0010485	K07806
MH0013_GL0010485	K13010
765701615-stool1_GL0052161	K03733
T2D-78A_GL0060090	K03585
V1.CD1-0_GL0035761	K07648
V1.CD1-0_GL0035761	K07679
AS133:gene_id_100431	K02171
MH0238_GL0012295	K06167
MH0119_GL0010198	K10536
MH0094_GL0103988	K01190
MH0094_GL0103988	K12111
MH0010_GL0043744	K01876
H65_gene_78677	K03615
675950834-stool1_GL0073029	K03208
675950834-stool1_GL0073029	K00786
T2D-78A_GL0009050	K21573
MH0203_GL0135790	K03606
MH0203_GL0135790	K13012
AS26:gene_id_12349	K02005
MH0246_GL0057537	K21055
MH0246_GL0057537	K03270
MH0246_GL0057537	K00983
MH0246_GL0057537	K01627
SZEY-55A_GL0060956	K00525
MH0319_GL0120795	K00857
MH0055_GL0029543	K03703
HD-52:gene_id_51153	K05591
V1.UC47-4_GL0118235	K06413
MH0238_GL0066443	K01991
MH0238_GL0066443	K20988
MH0238_GL0154934	K21573
RA14_contig:gene_id_12836	K02477
MH0192_GL0045549	K07391
V1.UC26-4_GL0162822	K07085
MH0061_GL0017442	K21573
O2.CD1-0_GL0068424	K07154
MH0066_GL0061189	K01494
L70_gene_79632	K02005
AS37:gene_id_31926	K07693
L55_gene_51046	K06889
MH0032_GL0021400	K02030
MH0368_GL0035936	K03703
158499257-stool1_GL0170854	K21572
MH0238_GL0077131	K01241
MH0055_GL0028551	K17828
MH0238_GL0133595	K18138
MH0238_GL0133595	K03296
763961826-stool1_GL0027744	K01785
S_P2_gene_19678	K00194
AS122:gene_id_10459	K01089
MH0238_GL0085326	K13599
MH0238_GL0085326	K07713
MH0238_GL0085326	K02667
MH0238_GL0085326	K02481
MH0238_GL0085326	K02584
MH0238_GL0085326	K10941
T2D-45A_GL0143321	K07056
O2.UC41-1_GL0203773	K02340
L103_gene_133247	K01303
L103_gene_133247	K01322
L103_gene_133247	K01278
MH0142_GL0121748	K01409
N051A_GL0014284	K19118
H65_gene_39188	K01687
MH0276_GL0134048	K18218
L40_gene_106372	K07636
AS18:gene_id_47115	K03744
L115_gene_6516	K07386
AS66:gene_id_6520	K21029
AS66:gene_id_6520	K03148
MH0088_GL0065870	K03606
AS134:gene_id_36430	K07165
MH0055_GL0039842	K00970
MH0055_GL0039842	K00974
RA00_contig:gene_id_110927	K03088
RA02_contig:gene_id_4547	K02234
V1.CD36-0_GL0095200	K02493
NLM004_GL0025481	K01872
MH0405_GL0066927	K18234
L106_gene_33826	K07652
L106_gene_33826	K18350
L106_gene_33826	K07636
L106_gene_33826	K10681
L106_gene_33826	K07642
MH0227_GL0000301	K17759
MH0227_GL0000301	K17758
MH0450_GL0178284	K06409
MH0138_GL0010654	K03797
HD-26:gene_id_33243	K03438
L67_gene_2058	K00265
MH0013_GL0030579	K21573
L87_gene_31871	K03650
MH0131_GL0044757	K13542
O2.UC36-1_GL0054345	K01599
159207311-stool2_GL0125822	K21573
MH0246_GL0024400	K21572
V1.UC50-1_GL0087538	K08676
MH0238_GL0039440	K01875
MH0094_GL0105775	K16089
O2.UC8-0_GL0005390	K17737
O2.UC8-0_GL0005390	K19338
O2.UC8-0_GL0005390	K04761
MH0238_GL0018634	K15532
MH0238_GL0018634	K05970
AS37:gene_id_23128	K03687
MH0451_GL0106502	K01710
MH0055_GL0007509	K14441
MH0428_GL0179316	K03773
MH0428_GL0179316	K03772
RA08_contig:gene_id_28518	K12410
T2D-45A_GL0124575	K04096
L62_gene_14257	K03924
O2.UC16-0_GL0017742	K00640
MH0055_GL0009669	K07059
AS40:gene_id_75224	K17677
AS40:gene_id_75224	K19789
H99_gene_29053	K07133
H59_gene_8766	K03546
MH0152_GL0080670	K02429
MH0010_GL0022273	K02426
V1.UC4-0_GL0030704	K00951
HD-58:gene_id_26992	K00548
O2.UC44-1_GL0066499	K01804
V1.UC49-1_GL0174651	K02199
V1.UC12-4_GL0008753	K02823
MH0094_GL0095009	K04079
O2.UC35-0_GL0027441	K06925
MH0238_GL0074943	K12340
MH0238_GL0027533	K00600
O2.UC8-1_GL0157393	K01205
O2.UC22-2_GL0065107	K02004
MH0224_GL0149790	K00764
AS121:gene_id_20694	K06871
MH0055_GL0009117	K00075
AS133:gene_id_33461	K01915
MH0097_GL0005931	K15726
MH0055_GL0065529	K01810
O2.UC8-0_GL0059226	K07127
RA03_contig:gene_id_102433	K01873
O2.UC46-0_GL0141770	K01883
MH0454_GL0207231	K03088
MH0055_GL0041226	K00059
MH0131_GL0017580	K02529
MH0094_GL0032580	K07165
HD-60:gene_id_49679	K21572
MH0124_GL0133385	K15921
HD-43:gene_id_4145	K07267
L70_gene_35675	K00768
SRA02_contig:gene_id_41673	K01921
SRA02_contig:gene_id_41673	K06219
SRA02_contig:gene_id_41673	K00568
SRA02_contig:gene_id_41673	K18897
MH0238_GL0042180	K05366
MH0238_GL0160110	K07037
L20_gene_4214	K03402
V1.FI36_GL0036997	K21572
RA00_contig:gene_id_85230	K04069
V1.UC26-4_GL0008868	K01992
MH0055_GL0049700	K01754
O2.UC44-2_GL0300975	K10117
O2.UC44-2_GL0300975	K02027
HD-33:gene_id_85657	K19339
HD-33:gene_id_85657	K21559
HD-33:gene_id_85657	K03612
O2.UC36-1_GL0054346	K00548
MH0321_GL0072834	K06075
H65_gene_26444	K01206
HD-45:gene_id_2835	K09809
O2.UC38-1_GL0147644	K11751
O2.UC38-1_GL0147644	K01218
O2.UC38-1_GL0147644	K01179
O2.UC38-1_GL0147644	K01373
O2.UC38-1_GL0147644	K14475
O2.UC38-1_GL0147644	K01371
HD-58:gene_id_5698	K13292
MH0142_GL0084442	K14058
H91_gene_4108	K16053
MH0211_GL0000583	K02004
MH0203_GL0110671	K00709
MH0203_GL0110671	K00743
MH0203_GL0110671	K00722
MH0013_GL0035415	K07657
MH0013_GL0035415	K07658
H111_gene_49116	K21572
NLM009_GL0011333	K05349
SRA00_contig:gene_id_166199	K18979
T2D-45A_GL0062105	K02469
MH0141_GL0077271	K00986
MH0141_GL0077271	K15342
T2D-102A_GL0023089	K03070
NOF007_GL0060112	K12308
T2D-45A_GL0136960	K07027
V1.UC17-0_GL0016648	K01811
AS127:gene_id_16972	K01173
SRA00_contig:gene_id_251568	K19285
SRA00_contig:gene_id_251568	K00768
H_P1_gene_130375	K01835
Unknow_GL0085737	K06217
MH0013_GL0005179	K03077
MH0013_GL0005179	K01786
O2.UC48-2_GL0101153	K21064
O2.UC48-2_GL0101153	K03768
S_P2_gene_272058	K01992
L115_gene_51860	K09760
HD-43:gene_id_2386	K00954
MH0094_GL0116829	K03150
T2D-45A_GL0131824	K03575
H91_gene_66849	K03530
T2D-45A_GL0085317	K13598
MH0314_GL0170106	K02967
DOM012_GL0024936	K01338
H91_gene_1988	K03286
H91_gene_1988	K03640
MH0314_GL0168304	K02878
T2D-173A_GL0063284	K06921
AS6:gene_id_59536	K01206
RA01_contig:gene_id_78393	K06901
ED13A_GL0046285	K00874
MH0238_GL0141306	K01934
AS34:gene_id_36251	K11934
MH0393_GL0097288	K02337
MH0245_GL0178674	K12990
H65_gene_78670	K03327
H65_gene_78670	K18908
MH0055_GL0062946	K00606
O2.UC57-0_GL0052978	K03332
T2D-106A_GL0086646	K13683
T2D-106A_GL0086646	K13002
MH0046_GL0041652	K03617
HD-33:gene_id_137072	K03284
O2.UC30-1_GL0015183	K06871
H13_gene_5049	K07263
T2D-45A_GL0120372	K03587
O2.UC17-0_GL0016980	K21572
MH0128_GL0026192	K02238
AS121:gene_id_7139	K02996
MH0238_GL0121510	K03088
MH0319_GL0084624	K01190
MH0087_GL0011367	K01138
MH0094_GL0083341	K01163
V1.CD18-0_GL0080349	K03831
V1.CD18-0_GL0080349	K15376
V1.FI07_GL0137244	K00008
V1.FI07_GL0137244	K00060
MH0428_GL0143841	K01190
H91_gene_62731	K00652
SRA02_contig:gene_id_107555	K09777
MH0094_GL0129892	K00766
MH0246_GL0096671	K02199
MH0246_GL0096671	K17609
MH0246_GL0096671	K06196
MH0246_GL0096671	K05838
SRA01_contig:gene_id_5947	K01990
RA09_contig:gene_id_126103	K00067
AS37:gene_id_29847	K00058
MH0321_GL0135753	K06920
MH0010_GL0010280	K08122
V1.FI27_GL0016465	K01791
AS121:gene_id_49335	K18954
AS121:gene_id_49335	K00941
MH0238_GL0012836	K03723
DOM016_GL0062752	K02926
MH0085_GL0007682	K03332
MH0094_GL0079681	K00384
AS4:gene_id_13341	K13012
AS4:gene_id_13341	K00996
MH0238_GL0054677	K21572
V1.UC52-1_GL0095741	K12343
O2.UC30-1_GL0073099	K04084
V1.UC12-4_GL0078435	K07486
V1.UC12-4_GL0078435	K19143
O2.UC41-1_GL0005549	K05785
T2D-109A_GL0116097	K02867
MH0010_GL0011027	K01447
AS37:gene_id_35182	K04761
HD-58:gene_id_18182	K11085
HD-58:gene_id_18182	K06147
MH0457_GL0146940	K07315
MH0055_GL0020264	K00286
MH0428_GL0017225	K21573
MH0094_GL0003569	K02481
V1.CD2-0-PN_GL0025680	K03469
MH0418_GL0022452	K03671
MH0238_GL0178769	K00566
SZEY-60A_GL0029370	K21573
T2D-29A_GL0115629	K00648
MH0094_GL0031439	K07076
MH0238_GL0141115	K01695
SZEY-24A_GL0041815	K07636
SZEY-24A_GL0041815	K07652
SZEY-24A_GL0041815	K07651
SZEY-24A_GL0041815	K07642
H_P1_gene_114422	K12574
RA00_contig:gene_id_83949	K03088
MH0094_GL0136027	K12373
L92_gene_30355	K06167
MH0238_GL0018275	K08659
O2.UC21-1_GL0153403	K03569
SRA02_contig:gene_id_24077	K07165
MH0238_GL0123650	K00784
Unknow_GL0083092	K07004
O2.UC30-2_GL0009797	K01914
L82_gene_17051	K10742
H_P1_gene_87719	K01845
V1.UC25-0_GL0058067	K05349
MH0128_GL0078407	K21572
MH0071_GL0050024	K00441
MH0071_GL0050024	K00385
O2.CD2-0_GL0060842	K16089
MH0092_GL0145718	K15923
MH0092_GL0145718	K01456
L96_gene_25392	K03601
AS54:gene_id_57261	K02003
675950834-stool1_GL0068317	K01791
V1.UC63-0_GL0203300	K00648
V1.UC25-0_GL0038736	K02014
V1.UC25-0_GL0038736	K21573
L115_gene_73508	K21573
V1.CD6-0-PN_GL0017376	K04096
AS133:gene_id_12908	K07720
AS133:gene_id_12908	K10119
AS37:gene_id_15645	K02014
AS37:gene_id_15645	K21573
823052294-stool1_GL0087566	K02337
O2.UC46-1_GL0123060	K00789
L19_gene_7378	K07029
MH0094_GL0107601	K21071
O2.UC26-2_GL0072268	K01443
H_P1_gene_243057	K00336
MH0096_GL0000329	K16150
MH0096_GL0000329	K08256
MH0096_GL0000329	K15521
MH0096_GL0000329	K06338
MH0096_GL0000329	K16148
RA04_contig:gene_id_48969	K01673
O2.UC8-1_GL0035283	K01000
